,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.0.3-2,1351846806026,9 years ago,0.1534967881,0.3990304513,0.09653615063,0,100000.15,10362,20,0,,,,
1,2.922.0,1622831037280,12 hours ago,0.6453584553,0.8647908936,0.7692986301,0.3333333333,0.8152399,,,,,,,
2,2.44.0,1622654729812,3 days ago,0.5274876031,0.8609511703,0.4358159582,0.3333333333,0.0077178897,,,,,,,
3,3.18.0,1622851160429,7 hours ago,0.4977137327,0.9099934682,0.3087115016,0.3333333333,0.005459438,,,,,,,
4,3.18.0,1622851171615,7 hours ago,0.4981944008,0.912335761,0.3080771594,0.3333333333,0.0042422772,,,,,,,
5,1.11.0,1604102938241,7 months ago,0.4886207357,0.5943188721,0.6016681024,0.2849749663,0.0035610416,,,,,,,
6,3.18.0,1622851487395,7 hours ago,0.4793854972,0.9229501521,0.2452393853,0.3333333333,0.0025683534,,,,,,,
7,3.18.0,1622851210549,7 hours ago,0.4792593214,0.9229501521,0.244878883,0.3333333333,0.002555853,,,,,,,
8,1.107.0,1622662919936,2 days ago,0.4529749548,0.78847537,0.2850447918,0.3333333333,0.0022700948,,,,,,,
9,1.107.0,1622662689560,2 days ago,0.4463690796,0.815373802,0.2431150637,0.3333333333,0.0017546114,,,,,,,
10,1.107.0,1622662647324,2 days ago,0.4416757901,0.815373802,0.2297056653,0.3333333333,0.0014428224,,,,,,,
11,3.18.0,1622851210358,7 hours ago,0.4555091487,0.9229501521,0.1770212468,0.3333333333,0.0012460122,,,,,,,
12,5.0.2,1622069995208,9 days ago,0.4551459788,0.7026308458,0.3648287383,0.3333333333,0.0009729432,,,,,,,
13,3.18.0,1622851123640,7 hours ago,0.4195234112,0.5934645269,0.3566211041,0.3333333333,0.0009337958,,,,,,,
14,3.18.0,1622851155112,7 hours ago,0.4491349812,0.9229501521,0.1588093396,0.3333333333,0.00090662343,,,,,,,
15,1.107.0,1622661824389,2 days ago,0.4321278377,0.8180365644,0.2001434334,0.3333333333,0.0008191621,,,,,,,
16,3.18.0,1622851411603,7 hours ago,0.4495199345,0.9229501521,0.1599092061,0.3333333333,0.00062039547,,,,,,,
17,3.18.0,1622851210772,7 hours ago,0.4102404737,0.6165996406,0.3102683281,0.3333333333,0.00059829105,,,,,,,
18,3.0.0,1618136699506,2 months ago,0.4794915108,0.9300559881,0.2445007697,0.3282841285,0.0005650253,,,,,,,
19,3.18.0,1622851134691,7 hours ago,0.4174655859,0.6036429567,0.342017235,0.3333333333,0.00054660864,,,,,,,
20,3.18.0,1622851180603,7 hours ago,0.4085989794,0.6136564997,0.3081010366,0.3333333333,0.00047255194,10362,20,1,,,,
